Field Name	Alias	Description	Type
ADDR_RANGE		ALL PARCELS IN RANGE	Text
ADDRESS		ADDRESS	Text
BLDG_CODE		OPA BLDG CODE	Text
BLDG_DESC		OPA BLDG TYPE DESCRIPTION	Text
BRT_ID		OPA ACCOUNT NUMBER	Text
CCD		CITY COUNCIL DISTRICTS 2000	Numeric
CCD_PERSON		CITY COUNCIL PERSON	Text
FID			OBJECTID
GRID		PHS LANDCARE GRID NUMBER	Numeric
GROSS_AREA			Numeric
GROUP_		PHS LANDCARE GROUP NUMBER	Numeric
NUMPARCELS			Numeric
OWNER1			Text
OWNER2			Text
PARCELID			Numeric
SEASON			Text
SQ_FT			Numeric
TARGETAREA			Text
TENCODE			Numeric
TREES_NUM		NUMBER OF TREES ON SITE RANGE	Double
TREES_NUM			Numeric
VL_NUM		PHS SITE RANGE (VL) NUMBER	Text
VL_NUM			Text
YEAR			Text
ZIPCODE			Text
ZIPCODE			Numeric
