OBJECTID,TENCODE,ADDRESS,OWNER1,OWNER2,BLDG_CODE,BLDG_DESC,BRT_ID,GROSS_AREA,YEAR,SEASON,VL_NUM,NUMPARCELS,SQ_FT,TREES_NUM,TARGETAREA,GROUP_,GRID,CCD,CCD_PERSON,ADDR_RANGE,ZIPCODE,Shape__Area,Shape__Length
1,5386002312,2312 N MARSHALL ST,PHILA REDEVELOPMENT AUTH, ,SR,VAC LAND RES < ACRE,371049900,1273,2010,Spring,VL1738EN,4,4335,1,Eastern North,,278,5,Darrell L. Clarke,2310-2316 MARSHALL STREET,19133,1279.59704589844,195.672676094731
2,8793002301,2301-03 N 07TH ST,CITY OF PHILA, ,SC,VAC LAND COMM. < ACRE,886810561,3067,2005,Spring,VL0660EN,1,4958,4,Eastern North,,278,5,Darrell L. Clarke,2303 N 7TH STREET,19133,3170.93792724609,245.624696591245
3,8795002027,2027 N 08TH ST,COMET HOMES INC, ,SR,VAC LAND RES < ACRE,202097400,1147,2013,Spring,VL2302EN,1,1140,0,Eastern North,,278,5,Darrell L. Clarke,2027 N 8TH STREET,19122,1137.09008789063,179.889028677912
4,8834001439,1439 N 28TH ST,HARRISON INC, ,SR,VAC LAND RES < ACRE,292094500,999,2014,Fall,VL2969NC_CLP,2,2960,0,North Central,,290,5,Darrell L. Clarke,1439-41 N 28TH ST,19121,992.503540039063,171.520003925574
5,5386001825,1825 N MARSHALL ST,CITY OF PHILA, ,SR,VAC LAND RES < ACRE,201131201,905,2009,Spring,VL1655EN,4,3153,0,Eastern North,,292,5,Darrell L. Clarke,1821-1827 N MARSHALL STREET,19122,935.317321777344,148.531770706497
6,5386002218,2218 N MARSHALL ST,ENRIQUE RODRIQUEZ, ,SR,VAC LAND RES < ACRE,371048900,1272,2015,Fall,VL3166EN_CLP,14,29000,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,"2203-2219 N 7TH ST; 2200-2218 MARSHALL ST",19133,1290.44763183594,182.412537219786
7,8795001950,1950 N 08TH ST,PHILA HOUSING AUTHORITY, ,SR,VAC LAND RES < ACRE,202113001,986,2007,Fall,VL0278EN_R,4,26461,3,Eastern North,,278,5,Darrell L. Clarke,"1920-1960 N 8TH STREET; 1959-1961 N DARIEN STREET; 
802-804 W NORRIS STREET",19122,959.301452636719,149.39109420798
8,8840001819,1819 N 31ST ST,PHILADELPHIA REDEVELOPMEN, ,SR,VAC LAND RES < ACRE,323281200,1350,2004,Spring,VL0326NC,8,12000,6,North Central,,276,5,Darrell L. Clarke,"1801-1821 N 31ST STREET; 3137-3147 SEDGLEY AVENUE",19121,1352.81341552734,211.141081237529
9,3498002235,2235 N FRANKLIN ST,CITY OF PHILA,DEPT PUB PROP,SR,VAC LAND RES < ACRE,371078301,996,2015,Fall,VL3169EN_CLP,7,2108,0,CHOICE NEIGHBORHOOD,,278,5,Darrell L. Clarke,2223-35 N FRANKLIN ST,19133,1031.27459716797,162.454634798041
10,8793002236,2236 N 07TH ST,MC KINNEY JOHN H,ANNA M H/W,SR,VAC LAND RES < ACRE,371066500,1033,2015,Fall,VL3133EN_R_CLP,13,13000,0,Eastern North,,278,5,Darrell L. Clarke,"2220-44 N 7TH ST; 2243-51 N FRANKLIN ST",19133,1036.76190185547,164.981054976237
